"ps","sd",ps2,sd2,osize,oaflas,ohsn,csfa,cpl,css,cslw,rfa,ms,mlw,sw,trq
338 Ext Sft (FS) ,0.68,338 (FS) ,0.68,2-227,1042555,996082,100772899,100775183,89268 (8),306985 (8),101541734,846162 (8),310078 (8), 1/2,12
338 Ext Sft (FS) ,0.68,338,0.68,2-227,1042555,996082,100772899,100775183 + shims,89268 (8),306985 (8),101541734,846162 (8),310078 (8), 1/2,12
387,0.68,387,0.87,2-228,1042563,826263,N/A,"260679
100570026 (INC-625)",89268 (8),306985 (8),N/A,846162 (8),310078 (8), 1/2,12
387,0.68,387 Ext Hd GS ,0.87,2-228,1042563,826263,N/A,"2005972
100571596 (INC-625)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 (FS) ,0.68,387 (FS) ,0.87,2-228,1042563,826263,N/A,"100556242
100570686 (INC 625)
101057188 (INC 625)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
387,0.68,387 (FS) ,0.87,2-228,1042563,826263,N/A,"100556242
100570686 (INC 625)
101057188 (INC 625)
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
387 (FS) ,0.68,387,0.87,2-228,1042563,826263,N/A,"100556242
100570686 (INC 625)
101057188 (INC 625)
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
387,0.87,387,0.87,2-228,1042563,826263,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
387 (FS) ,0.87,387 (FS) ,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
387,0.87,387 (FS) ,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
387 (FS) ,0.87,387,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
387 Ext Sft (FS) ,0.87,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 Ext Sft (FS) ,0.87,387 Ext Hd ,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387,0.87,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,2000184,72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 (FS) ,0.87,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,"100254539
101695836 (INC-625)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387,0.87,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 (FS) ,0.87,387 Ext Hd ,0.87,2-228,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
400,0.68,400,0.87,2-228,1042563,826263,N/A,"260679
100570026 (HS)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
