ps,sd,ps2,sd2,osize,csfa,cpl,css,cslw,rfa,ms,mlw,sw,trq,,,
338/375 ,0.68,375,0.87,none,N/A,143719,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
338/375 ,0.68,375/325/375 ,0.75,none,N/A,265983,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
338/375 ,0.68,387,0.87,none,N/A,143719,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
338/375 (FS) ,0.68,387 (FS) ,0.87,none,N/A,NDE,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
338/375 ,0.68,387 (FS) ,0.87,none,N/A,NDE,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
338/375 (FS) ,0.68,387,0.87,none,N/A,"100556242
100570686 (HS)
+ shims",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
338/375 ,0.68,400,0.87,none,N/A,143719,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
338/375 (FS) ,0.68,400,0.87,none,N/A,"100556242
100570686 (HS)
+ shims",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
338/375 ,0.68,540 Adapter to Protector ,1.18,none,130443,276030,"68965 (6)
68973 (11)","306993 (6)
307223 (11)",492785,"118182 (6)
118190 (11)","309740 (6)
310086 (11)","42614
44778","16
26",,,
387,0.87,375/325/375 ,0.75,none,N/A,873133,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
387 (FS) ,0.87,375/325/375 ,0.75,none,N/A,NDE,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
387 Intake ,0.87,387,0.87,none,N/A,266429 100570012 (HS),68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
387 GS ,0.87,387,0.87,none,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
387 (FS) ,0.87,387 (FS) ,0.87,none,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
387,0.87,387 (FS) ,0.87,none,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
387 (FS) ,0.87,387,0.87,none,N/A,"100134735
100571889 (INC-625)
+ shims",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
387 Intake ,0.87,400,0.87,none,N/A,"266429
100570012 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
387 GS ,0.87,400,0.87,none,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
387,0.87,540 Adapter to Protector ,1.18,none,130443,1346261,"68965 (6)
68973 (11)","306993 (6)
307223 (11)",492785,"118182 (6)
118190 (11)","309740 (6)
310086 (11)","42614
44778","16
26",,,
400,0.87,375/325/375 ,0.75,none,N/A,873133,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400 (FS) ,0.87,375/325/375 ,0.75,none,N/A,NDE,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400 Intake ,0.87,387,0.87,none,N/A,"266429
100570012 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400 GS ,0.87,387,0.87,none,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400,0.87,400 (FS) ,0.87,none,N/A,"100134735
100571889 (INC-625)
+ shims",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400 (FS) ,0.87,400,0.87,none,N/A,"100134735
100571889 (INC-625)
+ shims",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400 (FS) ,0.87,400 (FS) ,0.87,none,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400 Intake ,0.87,400,0.87,none,N/A,"266429
100570012 (HS)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400 GS ,0.87,400,0.87,none,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400 (FS) ,0.87,400,0.87,none,N/A,"100134735
100571889 (INC-625)
+ shims",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,
400,0.87,450 Adapter to Protector ,1,none,51235,DNE,"68965 (6)
68965 (6)","306993 (6)
306993 (6)",NDE,"118182 (6)
118182 (6)","309740 (6)
309740 (6)","42614
42614","16
16",,,
400,0.87,540 Adapter to Protector ,1.18,none,130443,1346261,68965 (6),306993 (6),492785,118182 (6),309740 (6),Sep-16,16,,,
,,,,,,,68973 (11),307223 (11),,118190 (11),310086 (11),05-Aug,26,,,
400,0.87,562 Adapter to Protector ,1.18,none,130443,1346261,"68965 (6)
68973 (11)","306993 (6)
307223 (11)",492785,"118182 (6)
118190 (11)","309740 (6)
310086 (11)","42614
44778","16
26",,,
400/540 ,0.87,540,1.18,none,N/A,266445 100571056 (HS) ,68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,,,
538/540 ,1.18,387 Adapter to Protector ,0.87,none,390369,889857,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
538/540 (FS) ,1.18,387 (FS) Adapter to Protector ,0.87,none,390369,100310905,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
538/540 ,1.18,387 (FS) Adapter to Protector ,0.87,none,390369,100310905 + shims,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
538/540 (FS) ,1.18,387 Adapter to Protector ,0.87,none,390369,100310905 + shims,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
538/540 ,1.18,400 Adapter to Protector ,0.87,none,390369,889857,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
538/540 ,1.18,540,1.18,none,N/A,"230300
100567614 (INC-625)
100752173 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"230300
100567614 (INC-625)
100752173 (INC-718)",,
538/540 (FS) ,1.18,540 (FS) ,1.18,none,N/A,"100191221
100781528 (INC-625)
101049017 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"100191221
100781528 (INC-625)
101049017 (INC-718)",,
538/540 ,1.18,540 (FS) ,1.18,none,N/A,"100191221
100781528 (INC-625)
101049017 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"100191221
100781528 (INC-625)
101049017 (INC-718)",,
538/540 ,1.18,562,1.18,none,N/A,"230300
100567614 (INC-625)
100752173 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"230300
100567614 (INC-625)
100752173 (INC-718)",,
538/540 (FS) ,1.18,562 (FS) ,1.18,none,N/A,"100191221
100781528 (INC-625)
101049017 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"100191221
100781528 (INC-625)
101049017 (INC-718)",,
538/540 ,1.18,562 (FS) ,1.18,none,N/A,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ shims",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ shims",,
538/540 ,1.18,738 Adapter to Protector ,1.5,none,84541,285452,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 (11)
310094 (13)","44778
13/16","26
60",,,
538/540 (FS) ,1.18,738 (FS) Adapter to Protector ,1.5,none,84541,DNE,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 (11)
310094 (13)","44778
13/16","26
60",,,
538/540 ,1.18,738 (FS) Adapter to Protector ,1.5,none,84541,DNE,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 (11)
310094 (13)","44778
13/16","26
60",,,
538/540 (FS) ,1.18,738 Adapter to Protector ,1.5,none,84541,DNE,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 (11)
310094 (13)","44778
13/16","26
60",,,
540,1.18,387 Adapter to Protector ,0.87,none,390369,889857,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
540 (FS) ,1.18,387 (FS) Adapter to Protector ,0.87,none,390369,100310905,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
540,1.18,387 (FS) Adapter to Protector ,0.87,none,390369,100310905+ shims,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
540 (FS) ,1.18,387 Adapter to Protector ,0.87,none,390369,100310905+ shims,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
540,1.18,400 Adapter to Protector ,0.87,none,390369,889857,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
,1.18,400 Ext Hd (FS) Adapter to Protector ,0.87,none,390369,DNE,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
,1.18,400 Ext Hd (FS) Adapter to Protector ,0.87,none,390369,DNE,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
540 (FS) ,1.18,400 Adapter to Protector ,0.87,none,390369,100310905+ shims,"68973 (11)
68965 (6)","307223 (11)
306993 (6)",889717,"118190 (11)
118182 (6)","310086 (11)
309740 (6)","44778
42614","26
16",,,
540,1.18,540,1.18,none,N/A,"230300
100567614 (INC-625)
100752173 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"230300
100567614 (INC-625)
100752173 (INC-718)",,
540 (FS) ,1.18,540 (FS) ,1.18,none,N/A,"100191221
100781528 (INC-625)
101049017 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"100191221
100781528 (INC-625)
101049017 (INC-718)",,
540,1.18,540 (FS) ,1.18,none,N/A,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ shims",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ shims",,
540,1.18,562,1.18,none,N/A,"230300
100567614 (INC-625)
100752173 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"230300
100567614 (INC-625)
100752173 (INC-718)",,
540 (FS) ,1.18,562 (FS) ,1.18,none,N/A,"100191221
100781528 (INC-625)
101049017 (INC-718)",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"100191221
100781528 (INC-625)
101049017 (INC-718)",,
540,1.18,562 (FS) ,1.18,none,N/A,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ shims",68973 (11),307223 (11),N/A,118190 (11),310086 (11),05-Aug,26,"100191221
100781528 (INC-625)
101049017 (INC-718)
+ shims",,
540,1.18,738 Adapter  to Protector,1.5,none,84541,285452,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 (11)
310094 (13)","44778
13/16","26
60",,,
540 (FS) ,1.18,738 (FS) Adapter to Protector ,1.5,none,84541,DNE,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 (11)
310094 (13)","44778
13/16","26
60",,,
540,1.18,738 (FS) Adap ter to Protector,1.5,none,84541,DNE,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 (11)
310094 (13)","44778
13/16","26
60",,,
540 (FS) ,1.18,738 Adapter to Protector ,1.5,none,84541,DNE,"68973 (11)
256503 (13)","307223 (11)
307017 (13)",100156578,"118190 (11)
210484 (13)","310086 (11)
310094 (13)","44778
13/16","26
60",,,
