sname,ps,sd,sname2,ps2,sd2,cpl,cpl_inc625,cpl_inc718,sa,csfa,rfa,osize,oaflas,ohsn,css,cslw,ms,mlw,sw,trq
Maximus    Protector (FS) MaxJoint ,375/325/375 ,0.75,Maximus Motor S/UT ,456,1.12 inv,NDE,DNE,NDE,NDE DN,E ND,E 2-227,104255,5     099608,2     006896,5 (6),0306993 (6),0118182 (6),0309740 (6),Sep-16,16
Maximus    Protector (FS) MaxJoint ,375/325/375 ,0.75,Motor UT ,375,0.87,"244350
(Alloy Steel)",100570101,100771394,238501,100332021,100479553,"2-227
2-227","1042555
1042555","996082
996082","0068965 (6)
0068965 (6)","0306993 (6)
0306993 (6)","0118182 (6)
0118182 (6)","0309740 (6)
0309740 (6)","42614
42614","16
16"
Maximus    Protector S/LT (FS) MaxJoint ,400/375 ,0.87/0.75,Motor UT ,375,0.87,"244350
(Alloy Steel)",100570101,100771394,238501,100332021,100479553,"2-227
2-227","1042555
1042555","996082
996082","0068965 (6)
0068965 (6)","0306993 (6)
0306993 (6)","0118182 (6)
0118182 (6)","0309740 (6)
0309740 (6)","42614
42614","16
16"
Maximus    Protector UT (FS) MaxJoint ,387/387 ,0.87,Motor UT ,375,0.87,100833051,NDE,DNE,N/A,100332021,100479553,"2-035
2-227","100362894
1042555","100233372
996082","0068965 (6)
0068965 (6)","0306993 (6)
0306993 (6)","0118182 (6)
0118182 (6)","0309740 (6)
0309740 (6)","42614
42614","16
16"
Maximus    Protector UT (FS) MaxJoint ,400/400 ,0.87,Motor UT ,375,0.87,100833051,DNE,DNE,N/A 1,332021,100479553,"2-035
2-227","100362894
1042555","100233372
996082","0068965 (6)
0068965 (6)","0306993 (6)
0306993 (6)","0118182 (6)
0118182 (6)","0309740 (6)
0309740 (6)","42614
42614","16
16"
Maximus    Protector S/LT (FS) MaxJoint ,387/456 ,0.87,Maximus Motor S/UT ,456,1.12 inv,"1313014
(Alloy Steel)",DNE,DNE,N/A,N/A,N/A,2-231 1,042589     0,831248     0,068973     (6),0307223 (6),0118190 (6),0310086 (6),44778,26
Maximus    Protector S/LT (FS) MaxJoint ,400/456 ,0.87,Maximus Motor S/UT ,456,1.12 inv,"1313014
(Alloy Steel)",DNE,DNE,N/A,N/A,N/A,2-231 1,042589     0,831248     0,068973     (6),0307223 (6),0118190 (6),0310086 (6),44778,26
Maximus    Protector S (FS) MaxJoint ,540/540 ,1.18,Maximus Motor S/UT ,456,1.12 inv,"100844750
(Alloy Steel)",DNE,DNE,N/A 1,844749,100943803,"2-237
2-231","1042605
1042589","812776
831248","0068973 (11)
0068973 (6)","0307223 (11)
0307223 (6)","0118190 (11)
0118190 (6)","0310086 (11)
0310086 (6)",44778,26
Maximus    Protector S (FS) MaxJoint ,540/540 ,1.18,Motor S/UT ,540,1.37,"1198340
(Alloy Steel)",DNE,DNE,N/A 1,727804,100727808,2-237 1,042605     0,812776    0,068973     (11),0307223 (11),0118190 (11),0310086 (11),44778,26
Maximus    Protector S (FS) MaxJoint ,540/540 ,1.18,oDimnator Motor S/UT ,562,1.37 inv,"1067636
(Alloy Steel)",100929995,DNE,N/A,100727804,100727808,2-237,1042605,812776,0068973 (11),0307223 (11),0118190 (11),0310086 (11),44778,26
Maximus    Protector S (FS) MaxJoint ,540/540 ,1.18,Maximus Motor S/UT ,562,1.37 inv,"1067636
(Alloy Steel)",100929995,DNE,N/A,N/A,N/A,2-237,1042605,812776,0068973 (11),0307223 (11),0118190 (11),0310086 (11),44778,26
