"AGH LT (FS)
Ext Hd ",338/338 ,0.68,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,101154562,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",387/387 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100354831 + shims ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",387/387 ,0.87,S & UT (FS) MaxJoint Maximus ProMotor ,387/456 ,0.87/1.18 ,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",387/387 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",387/387 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",387/387 ,0.87,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
"AGH LT
Ext Hd ",387/387 ,0.87,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
"AGH LT
Ext Hd ",400/400 ,0.87,Maximus Protector (FS) MaxJoint ,375/325/375 ,0.75,100354831 + shims ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",400/400 ,0.87,Maximus Protector UT (FS) MaxJoint ,387/387 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",400/400 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,387/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",400/400 ,0.87,S & UT (FS) MaxJoint Maximus ProMotor ,387/456 ,0.87/1.18 ,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",400/400 ,0.87,Maximus Protector UT (FS) MaxJoint ,400/400 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",400/400 ,0.87,Maximus Protector S/LT (FS) MaxJoint ,400/456 ,0.87,100288502 + shims ,100567610 + shims ,100883087 + shims ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068965 (6) ,0306993 (6) ,0118182 (6) ,0309740 (6) ,Sep-16,16
"AGH LT
Ext Hd ",400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/540 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
"AGH LT
Ext Hd ",400/400 ,0.87,Maximus Protector (FS) MaxJoint ,540/562 ,1.18,100758931 + shims ,DNE ,DNE ,N/A ,130443,492785,N/A ,N/A ,N/A ,0068973 (11) 0068965 (6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,16 26
AGH LT (FS) ,538/540 ,1,"Maximus Protector UT
(FS) MaxJoint ",400/400 ,0.87,DNE ,DNE ,DNE ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
AGH LT (FS) ,538/540 ,1,"Maximus Protector S/LT
(FS) MaxJoint ",400/456 ,0.87,DNE ,DNE ,DNE ,N/A ,390369,889717,N/A ,N/A ,N/A ,0068973 (11) 0068965(6) ,0307223 (11) 0306993 (6) ,0118190 (11) 0118182 (6) ,0310086 (11) 0309740 (6) ,9/16 5/8 ,26 16
AGH LT (FS) ,538/540 ,1,"Maximus Protector (FS)
MaxJoint ",540/540 ,1.18,DNE ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
AGH LT (FS) ,538/540 ,1,"Maximus Protector (FS)
MaxJoint ",540/562 ,1.18,DNE ,DNE ,DNE ,N/A ,N/A ,N/A ,N/A ,N/A ,N/A ,0068973 (11) ,0307223 (11) ,0118190 (11) ,0310086 (11) ,05-Aug,26
