375,0.68,375,0.68,2-229,1042571,733832,N/A,1183656,89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
375,0.75,375,0.75,2-229,1042571,733832,N/A,232199,89268 (8),306985 (8),N/A,846162 (8),310078 (8),1/2,12
456,1,456,1,2-150,1042498,996058,N/A,1183672,68973 (6),307223 (6),N/A,118190 (6),310086 (6),5/8,26
456,1.12,456,1.12,2-150,1042498,996058,N/A,1183698,68973 (6),307223 (6),N/A,118190 (6),310086 (6),5/8,26
456 Dominator UT ,1.12 inv,456 Dominator LT ,1.12 inv,2-040,1135128,100078629,N/A,1334416,68965 (6),306993 (6),N/A,118182 (6),309740 (6),9/16,16
540,1.12,540,1.12,2-152,1042506,560565,N/A,212654,68973 (11),307223 (11),N/A,118190 (11),310086 (11),5/8,26
540,1.12,540,1.18,2-152,1042506,560565,N/A,264739,68973 (11),307223 (11),N/A,118190 (11),310086 (11),5/8,26
540,1.18,540,1.18,2-152,1042506,560565,N/A,252684,68973 (11),307223 (11),N/A,118190 (11),310086 (11),5/8,26
540,1.37,540,1.37,2-152,1042506,560565,N/A,1123355,68973 (11),307223 (11),N/A,118190 (11),310086 (11),5/8,26
562 Dominator ,1.37 inv,562 Dominator ,1.37 inv,2-154,1105725,1018761,N/A,1067578,68973 (11),307223 (11),N/A,118190 (11),310086 (11),5/8,26
738 Dominator UT ,2.00 inv,738 Dominator LT ,2.00 inv,2-253,2008058,2004317,N/A,2010746,2004343 (14),307223 (14),N/A,2007082 (14),310086 (14),3/8 Allen,60
