325/375 ,0.75,375,0.87,2-227,1042555,996082,N/A,"244350
100570101 (INC-625)
100771394 (INC-718)",238501,68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,,,,,,,,,,,,
387/456 ,0.87,456 Dominator ,1.12   inv.,2-231,1042589,831248,N/A,1313014,,68973 (6),307223 (6),N/A,118190 (6),310086 (6),05-Aug,26,,,,,,,,,,,,,,
387/456 ,0.87,540 Adapter to Motor ,1.18,"2-231
2-237","1042589
1042605","831248
812776",417311,260752,,"68973 (6)
68973 (11)","307223 (6)
307223 (11)",463711,"118190 (6)
118190 (11)","310086 (6)
310086 (11)","44778
44778","26
26",,"2-231
2-237","1042589
1042605","831248
812776",417311,260752,,"68973 (6)
68973 (11)","307223 (6)
307223 (11)",463711,"118190 (6)
118190 (11)","310086 (6)
310086 (11)","44778
44778","26
26"
387/456 ,0.87,540 Adapter to Motor ,1.37,"2-231
2-237","1042589
1042605","831248
812776",417311,402461,,"68973 (6)
68973 (11)","307223 (6)
307223 (11)",463711,"118190 (6)
118190 (11)","310086 (6)
310086 (11)","44778
44778","26
26",,"2-231
2-237","1042589
1042605","831248
812776",417311,402461,,"68973 (6)
68973 (11)","307223 (6)
307223 (11)",463711,"118190 (6)
118190 (11)","310086 (6)
310086 (11)","44778
44778","26
26"
387/375 ,0.87,375,0.87,2-227,1042555,996082,N/A,"244350
100570101 (INC-625)
100771394 (INC-718)","238824
100582459 (INC-625)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,,,,,,,,,,,,
400/375 ,0.87,375,0.87,2-227,1042555,996082,N/A,"244350
100570101 (INC-625)
100771394 (INC-718)","238824
100582459 (INC-625)",68965 (6),306993 (6),N/A,118182 (6),309740 (6),Sep-16,16,,,,,,,,,,,,,,
400/456 ,0.87,375 Adapter to Motor ,0.87,"2-231
2-227","1042589
1042555","831248
996082",DNE,DNE,,"68973 (6)
68965 (6)","307223 (6)
306993 (6)",DNE,"118190 (6)
118182 (6)","310086 (6)
309740 (6)","44778
42614","26
16",,"2-231
2-227","1042589
1042555","831248
996082",DNE,DNE,,"68973 (6)
68965 (6)","307223 (6)
306993 (6)",DNE,"118190 (6)
118182 (6)","310086 (6)
309740 (6)","44778
42614","26
16"
400/456 ,0.87,456 Coupling Adapter ,1.12,2-231,1042589,831248,N/A,1203181,238709,68973 (6),307223 (6),N/A,118190 (6),310086 (6),44778,26,,2-231,1042589,831248,N/A,1203181,238709,68973 (6),307223 (6),N/A,118190 (6),310086 (6),44778,26
400/456 ,0.87,456 Coupling Adapter ,1.18,"2-231
2-231",1042589,831248,N/A,319020,238709,68973 (6),307223 (6),N/A,118190 (6),310086 (6),44778,26,,"2-231
2-231",1042589,831248,N/A,319020,238709,68973 (6),307223 (6),N/A,118190 (6),310086 (6),44778,26
400/456 ,0.87,456 Dominator ,1.12   inv.,,,,,,,,,,,,,,,,,,,,,,,,,,,
