ps,sd,ps2,sd2,osize,oaflas,ohsn,csfa,cpl,css,cslw,rfa,ms,mlw,sw,trq
338 (FS) ,0.62,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A ,101329250,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338,0.62,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A ,101329250,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338,0.62,387 Adapter to AGH ,0.68,"2-227 
2-228 ","1042555 
1042563 ","996082 
826263 ","89268 (8) 
89268 (8) ","306985 (8) 
306985 (8) ","846162 (8) 
846162 (8) ","310078 (8) 
310078 (8) ","DNE
","846162 (8)
846162 (8) ","310078 (8) 
310078 (8)","1/2 
1/2 ","12
12"
338 (FS) ,0.68,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A ,DNE ,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338,0.68,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A ,102894829,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338 Ext Sft (FS) ,0.68,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338 Ext Sft ,0.68,338 AGH Ext Hd (FS) ,0.68,2-227 ,1042555,996082,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
338,0.68,387 Adapter to AGH,0.68,"2-227 
2-228 ","1042555 
1042563 ","996082 
826263 ",1328913,100295216,"89268 (8) 
89268 (8) ","306985 (8) 
306985 (8) ","DNE
","846162 (8) 
846162 (8) ","310078 (8) 
310078 (8) ","1/2 
1/2 ","12
12"
387,0.62,387 AGH ,0.68,2-228 ,1042563,826263,N/A ,"232942
100571095 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387 (FS) ,0.62,387 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A ,DNE ,89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387,0.62,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.62,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.62,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.68,387 AGH ,0.68,2-228 ,1042563,826263,N/A ,"155259
100570039 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387 (FS) ,0.68,387 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387,0.68,387 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387 (FS) ,0.68,387 AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
387,0.68,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,"2005972
100571596 (HS) ",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.68,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.68,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.68,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.68,"387 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A ,100571596 (HS) 2005972 ,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.68,"387 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.68,"387 Ext Hd (FS)
MGH ",0.87,2-228 ,1042563,826263,N/A,"100541916
100570680 (HS)
102774360 (INC 718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.87,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,2000184,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.87,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,"100254539
101695836 (INC-625) ",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.87,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.87,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft ,0.87,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft (FS) ,0.87,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft ,0.87,387 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft (FS) ,0.87,387 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.87,"387 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A ,2000184,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.87,"387 Ext Hd (FS)
MGH ",0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 (FS) ,0.87,"387 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387 Ext Sft (FS) ,0.87,387 Ext Hd MGH ,0.87,2-228 ,1042563,826263,N/A ,"100571889 (HS) 100134735
+ shims",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.62,400 AGH ,0.68,2-228 ,1042563,826263,N/A ,"232942
100571095 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400 (FS) ,0.62,400 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A ,"100570605
100571617 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400 (FS) ,0.62,400 AGH ,0.68,2-228 ,1042563,826263,N/A,"100570605
100571617 (HS)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400,0.62,400 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100570605
100571617 (HS)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400,0.62,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.62,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400 (FS) ,0.62,400 Ext Hd (FS) AGH ,0.87,2-228 ,1042563,826263,N/A ,100593173,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.62,400 Ext Hd AGH ,0.87,2-228 ,1042563,826263,N/A ,"2007598
100571904 (HS) ",72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.62,"400 Ext Hd
MGH ",0.87,2-228 ,1042563,826263,N/A ,100571904 (HS) 2007598 ,72827 (8) ,307041 (8) ,N/A ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
400,0.68,400 AGH ,0.68,2-228 ,1042563,826263,N/A ,"155259
100570039 (HS) ",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400 (FS) ,0.68,400 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400 (FS) ,0.68,400 AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
400,0.68,400 (FS) AGH ,0.68,2-228 ,1042563,826263,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",89268 (8) ,306985 (8) ,N/A ,846162 (8) ,310078 (8) ,1/2 Allen,12
