ps,sd,ps2,sd2,osize,oaflas,ohsn,csfa,cpl,css,cslw,rfa,ms,mlw,sw,trq
338,0.44 H,338/375 ,0.68,2-227,1042555,996082,N/A,953380,89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
338,0.62,338/375 ,0.68,2-227,1042555,996082,N/A,273383,89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
338,0.62,338/375 (FS) ,0.68,2-227,1042555,996082,N/A,"100570605
100571617 (HS)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
338,0.62,"387 Adapter to Intake or GS ",0.87,"2-227
2-228","1042555
1042563","996082
826263",DNE,101428983,"89268 (8)
89268 (8)","306985 (8)
306985 (8)",101425441,"846162 (8)
846162 (8)","310078 (8)
310078 (8)","44593
44593","12
12"
338,0.62,"400 Adapter to Intake or GS ",0.87,"2-227
2-228","1042555
1042563","996082
826263",1328913,1328921,"89268 (8)
89268 (8)","306985 (8)
306985 (8)",DNE,"846162 (8)
846162 (8)","310078 (8)
310078 (8)","44593
44593","12
12"
338,0.62,"540 Adapter to Intake or GS ",1.18,"2-227
2-237","1042555
1042605","996082
812776",406157,491290,"89268 (8)
68973 (11)","306985 (8)
307223 (11)",DNE,"846162 (8)
118190 (11)","310078 (8)
310086 (11)","44593
44778","12
26"
338,0.68,338/375 ,0.68,2-227,1042555,996082,N/A,"155259
100570039 (HS)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
338 Ext Sft ,0.68,338 Ext Hd ,0.68,2-227,1042555,996082,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
338 Ext Sft (FS) ,0.68,338 Ext Hd ,0.68,2-227,1042555,996082,N/A,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
338 Ext Sft ,0.68,338/375 ,0.68,2-227,1042555,996082,100772899,N/A,89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
"338 Ext Sft (FS) ",0.68,338/375 ,0.68,2-227,1042555,996082,100772899,"100775183
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
"338 Ext Sft (FS) ",0.68,338/375 (FS) ,0.68,2-227,1042555,996082,100772899,100775183,89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
338 Ext Sft ,0.68,338/375 (FS) ,0.68,2-227,1042555,996082,100772899,"100775183
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
338,0.68,"387 Adapter to Intake or GS ",0.87,"2-227
2-228","1042555
1042563","996082
826263",DNE,DNE,"89268 (8)
89268 (8)","306985 (8)
306985 (8)",DNE,"846162 (8)
846162 (8)","310078 (8)
310078 (8)","44593
44593","12
12"
338,0.68,"400 Adapter to Intake or GS ",0.87,"2-227
2-228","1042555
1042563","996082
826263",1328913,DNE,"89268 (8)
89268 (8)","306985 (8)
306985 (8)",DNE,"846162 (8)
846162 (8)","310078 (8)
310078 (8)","44593
44593","12
12"
338,0.68,"540 Adapter to Intake or GS ",1.18,"2-227
2-237","1042555
1042605","996082
812776",406157,DNE,"89268 (8)
68973 (11)","306985 (8)
307223 (11)",DNE,"846162 (8)
118190 (11)","310078 (8)
310086 (11)","44593
44778","12
26"
387,0.62,387,0.87,2-228,1042563,826263,N/A,"266346
100571137 (HS)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387 (FS) ,0.62,387 (FS) ,0.87,2-228,1042563,826263,N/A,100330707,89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387 (FS) ,0.62,387,0.87,2-228,1042563,826263,N/A,"100330707
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387,0.62,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,100593173,72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 (FS) ,0.62,387 Ext Hd ,0.87,2-228,1042563,826263,N/A,100593173,72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 (FS) ,0.62,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,100593173,72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387,0.62,"400 Adapter to Intake or GS ",0.87,"2-228
2-228",1042563,826263,DNE,DNE,89268 (8),306985 (8),DNE,846162 (8),310078 (8),44593,12
387,0.62,"540 Adapter to Intake of GS ",1.18,"2-228
2-237","1042563
1042605","826263
812776",DNE,DNE,"89268 (8)
68973 (11)","306985 (8)
307223 (11)",DNE,"846162 (8)
118190 (11)","310078 (8)
310086 (11)","44593
44778","12
26"
387,0.62,"562/540 Adapter to Intake or GS ",1.18,"2-228
2-241","1042563
1072511","826263
997635",DNE,DNE,"89268 (8)
68973 (11)","306985 (8)
307223 (11)",DNE,"846162 (8)
118190 (11)","310078 (8)
310086 (11)","44593
44778","12
26"
387,0.68,387,0.87,2-228,1042563,826263,N/A,"260679
100570026 (HS)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387 (FS) ,0.68,387 (FS) ,0.87,2-228,1042563,826263,N/A,"100556242
100570686 (INC 625)
101057188 (INC 625)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387 (FS) ,0.68,387,0.87,2-228,1042563,826263,N/A,"100556242
100570686 (INC 625)
101057188 (INC 625)
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387,0.68,387 Ext Hd ,0.87,2-228,1042563,826263,N/A,"2005972
100571596 (HS)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 (FS) ,0.68,387 Ext Hd ,0.87,2-228,1042563,826263,N/A,"100541916
100570680 (INC 625)
102774360 (INC 718)
+shism",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 (FS) ,0.68,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,"100541916
100570680 (INC 625)
102774360 (INC 718)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
,,,,,,,,,,,,,,,
387,0.87,387,0.87,2-228,1042563,826263,N/A,"178301
100567606 (INC-625)
100883101 (INC-718)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387,0.87,387 (FS) ,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387 (FS) ,0.87,387 (FS) ,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387 (FS) ,0.87,387,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
387,0.87,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shism",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 (FS) ,0.87,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,"100254539
101695836 (INC-625)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 (FS) ,0.87,387 Ext Hd ,0.87,2-228,1042563,826263,N/A,"100254539
101695836 (INC-625)
+shism",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 Ext Sft (FS) ,0.87,387 Ext Hd ,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387 Ext Sft (FS) ,0.87,387 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,"100134735
100571889 (INC-625)
101049669 (INC-718)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
387,0.87,"540 Adapter to Intake or GS ",1.18,"2-228
2-237","1042563
1042605","826263
812776",DNE,DNE,"89268 (8)
68973 (11)","306985 (8)
307223 (11)",DNE,"846162 (8)
118190 (11)","310078 (8)
310086 (11)","44593
44778","12
26"
387,0.87,"562/540 Adapter to Intake or GS ",1.18,"2-228
2-241","1042563
1072511","826263
997635",DNE,DNE,"89268 (8)
68973 (11)","306985 (8)
307223 (11)",DNE,"846162 (8)
118190 (11)","310078 (8)
310086 (11)","44593
44778","12
26"
400,0.62,"338 Adapter to Intake or GS ",0.69,"2-228
2-227","1042563
1042555","826263
996082",DNE,1033851,"89268 (8)
89268 (8)","306985 (8)
306985 (8)",1033844,"846162 (8)
846162 (8)","310078 (8)
310078 (8)","44593
44593","12
12"
400,0.62,400,0.87,2-228,1042563,826263,N/A,"266346
100571137 (HS)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
400 (FS) ,0.62,400 (FS) ,0.87,2-228,1042563,826263,N/A,100330707,89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
400,0.62,400 (FS) ,0.87,2-228,1042563,826263,N/A,"100330707
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
400 (FS) ,0.62,400,0.87,2-228,1042563,826263,N/A,"100330707
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
400,0.62,400 Ext Hd ,0.87,2-228,1042563,826263,N/A,"2007598
100571904 (HS)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
400,0.62,400 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,100593173,72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
400 (FS) ,0.62,400 Ext Hd ,0.87,2-228,1042563,826263,N/A,100593173,72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
400 (FS) ,0.62,400 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,100593173,72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
400,0.62,"538/540 Adapter to GS ",1.18,"2-228
2-237","1042563
1042605","826263
812776",265892,312991,"89268 (8)
68973 (11)","306985 (8)
307223 (11)",1135144,"846162 (8)
118190 (11)","310078 (8)
310086 (11)","44593
44778","12
26"
,,,,,,,,,,,,,,,
400,0.62,"540 Adapter to Intake or GS ",1.18,"2-228
2-237","1042563
1042605","826263
812776",265892,312991,"89268 (8)
68973 (11)","306985 (8)
307223 (11)",1135144,"846162 (8)
118190 (11)","310078 (8)
310086 (11)","44593
44778","12
26"
,,,,,,,,,,,,,,,
400,0.62,"562/540 Adapter to Intake or GS ",1.18,"2-228
2-241","1042563
1072511","826263
997635",DNE,DNE,"89268 (8)
68973 (11)","306985 (8)
307223 (11)",DNE,"846162 (8)
118190 (11)","310078 (8)
310086 (11)","44593
44778","12
26"
,,,,,,,,,,,,,,,
400,0.68,338,0.68,"2-228
2-227","1042563
1042555","826263
996082",DNE,1067313,"89268 (8)
89268 (8)","306985 (8)
306985 (8)",1033844,"846162 (8)
846162 (8)","310078 (8)
310078 (8)","44593
44593","12
12"
,,,,,,,,,,,,,,,
400,0.68,400,0.87,2-228,1042563,826263,N/A,"260679
100570026 (HS)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
,,,,,,,,,,,,,,,
400 (FS) ,0.68,400,0.87,2-228,1042563,826263,N/A,"100556242
100570686 (INC 625)
101057188 (INC 625)
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
400,0.68,400 (FS) ,0.87,2-228,1042563,826263,N/A,"100556242
100570686 (INC 625)
101057188 (INC 625)
+ shims",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
400 (FS) ,0.68,400 (FS) ,0.87,2-228,1042563,826263,N/A,"100556242
100570686 (INC 625)
101057188 (INC 625)",89268 (8),306985 (8),N/A,846162 (8),310078 (8),44593,12
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
400,0.68,400 Ext Hd ,0.87,2-228,1042563,826263,N/A,"2005972
100571596 (HS)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
,,,,,,,,,,,,,,,
400 (FS) ,0.68,400 Ext Hd ,0.87,2-228,1042563,826263,N/A,"100541916
100570680 (INC 625)
102774360 (INC 718)
+shism",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
400,0.68,400 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,"100541916
100570680 (INC 625)
102774360 (INC 718)
+shism",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
400 (FS) ,0.68,400 Ext Hd (FS) ,0.87,2-228,1042563,826263,N/A,"100541916
100570680 (INC 625)
102774360 (INC 718)",72827 (8),307041 (8),N/A,2004142 (8),309146 (8),1/4 Allen,12
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
400 (FS) ,0.68,"400 Select Remote Sensor to 400 Ext Hd Intake ",0.87,"2-228
2-228","1042563
1042563","826263
826263",N/A,100861329,N/A,N/A,N/A,"100291561 (8)
100291563 (8)",310078 (8),"44593
44593",12
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
