ps,sd,ps2,sd2,osize,oaflas,ohsn,cpl,css,cslw,ms,mlw,sw,trq
338,0.44 H ,338,0.44H ,2-227 ,1042555,996082,953406,89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
338,0.62,338,0.62,2-227 ,1042555,996082,239475,89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
338,0.68,338,0.68,2-227 ,1042555,996082,"155259
100570039 (INC 625)
100949864 (INC 718)",89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
338 Ext Sft ,0.68,338 Ext Hd ,0.68,2-227 ,1042555,996082,"155259
100570039 (INC 625)
100949864 (INC 718)",89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
338 Ext Sft ,0.68,338 Ext Hd (FS) ,0.68,2-227 ,1042555,996082,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",72827 (8) ,307041 (8) ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
338 Ext Sft (FS) ,0.68,338 Ext Hd ,0.68,2-227 ,1042555,996082,"100263827
100555786 (INC 625)
102773439 (INC 718)
+ shims",72827 (8) ,307041 (8) ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
338 Ext Sft (FS) ,0.68,338 Ext Hd (FS) ,0.68,2-227 ,1042555,996082,"100555786 (INC 625) 100263827
102773439 (INC 718)",72827 (8) ,307041 (8) ,2004142 (8) ,309146 (8) ,1/4 Allen ,12
387,0.62,387,0.62,2-228 ,1042563,826263,"0997098
100571058 (HS) ",89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
387 (FS) ,0.62,387 (FS) ,0.62,2-228 ,1042563,826263,"100321514
100570698 (HS) ",89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
387,0.62,387 (FS) ,0.62,2-228 ,1042563,826263,"100321514
100570698 (HS) ",89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
387 (FS) ,0.62,387,0.62,2-228 ,1042563,826263,"100321514
100570698 (HS) ",89268 (8) ,306985 (8) ,846162 (8) ,310078 (8) ,01-Feb,12
